"","1","2","3","4"
"(Intercept)",0.000171959562740076,0.0000000216398581276422,0.0310540519745284,0.0000444467411369054
"occupationstatus2",0.524811388444117,0.389511505200373,0.0956237482111513,0.855396631192419
"occupationstatus3",0.389594399697893,0.731007387194468,0.335092847926579,0.848339485525473
"occupationstatus4",0.120882545777178,0.911371564508721,0.717923926550498,0.761447041284972
"occupationstatus5",0.505001686768348,0.0207030438923061,0.313811353638524,0.152777427263779
"occupationstatus6",0.716567238769226,0.420610311217902,0.173997747495715,0.487272326192218
"occupationstatus91",0.143512785408939,0.317112319682564,0.603184877500624,0.979949414519335
"activedutyarmedforces-9",0.105871728380058,0.778456974893424,0.634498190695817,0.315748389677421
"activedutyarmedforces1",0.817198471097686,0.0452398231570907,0.161878873139427,0.527151179234592
"maritalstatus0",0.525271412921731,0.782347421989225,0.525490206308443,0.425963353917097
"maritalstatus1",0.939488376057001,0.992371464117708,0.0735234016342157,0.628006282569066
"maritalstatus2",0.915248221444726,0.321036797967654,0.641445974514456,0.559065697150987
"maritalstatus3",0.382162570190035,0.275386465435619,0.032738676175649,0.37003408838658
"maritalstatus4",0.0712352269838188,0.374428929407328,0.547029501800032,0.756156855718591
"maritalstatus5",0.0312294410048295,0.0374334080319785,0.527449322400243,0.742109702369689
"education0",0.267012467717517,0.0724298530247887,0.226893675319884,0.686366121995156
"education2",0.312641761073049,0.0513507034977512,0.377823364333142,0.611468294787203
"education3",0.950394925880683,0.172353179317512,0.670740462376003,0.806742740020191
"education4",0.596029056825172,0.211456517689253,0.391359726038314,0.790930434756103
"education5",0.452245799663667,0.123125615724362,0.435986528092063,0.660127072448407
"education6",0.897400028798655,0.217361784958553,0.606386929749649,0.863221251440785
"hisp_catHispanic",0.631897159230376,0.966025094650863,0.947913867307391,0.355250417714236
"hisp_catUnknown",0.126902785533493,0.112456286072266,0.457213656064497,0.320811027380138
"race_cat2Others",0.598455937044793,0.270588317289187,0.69572955467806,0.307051910156692
"race_cat2Unknown",0.322332250787279,0.759139002748127,0.0393288929883386,0.952048448402131
"race_cat2White",0.289953555933441,0.176983638256166,0.364275155963696,0.881475478170908
"childreninhh-9",0.367768036711253,0.635515459738532,0.528692508048437,0.96726203594087
"childreninhh1+",0.957934550494748,0.988968688527102,0.380423857387465,0.817899100380045
"incomerangesHigh",0.0164221973236125,0.0457037409940417,0.122349665344553,0.130145500644161
"incomerangesMedium",0.16232532456362,0.468028122390108,0.911189973303795,0.266832845420702
"incomerangesUnknown",0.0209318824428368,0.0721001506630068,0.00748498545470389,0.112279324463954
"freqgoprovider-9",0.156479797975689,0.792512481615133,0.589417685033696,0.978899116718863
"freqgoprovider1",0.446974174518316,0.484846681267874,0.439251540650099,0.102946133792552
"freqgoprovider2",0.0972080032143252,0.466391021658485,0.373228115274097,0.506165974045909
"freqgoprovider3",0.533125865194445,0.112590164749254,0.336921848724949,0.636651180114765
"freqgoprovider4",0.266364055151123,0.00634129534407757,0.29990862864939,0.241029445992972
"freqgoprovider5",0.981215543863744,0.0118772456989829,0.246480738398045,0.00997590192472964
"freqgoprovider6",0.387043089551733,0.261898118762337,0.328633279271361,0.00831974320670548
"otherdevtrackhealth-9",0.45541621966107,0.139234893241339,0.751745078584108,0.797168962326001
"otherdevtrackhealth1",0.657812809502719,0.168866298215147,0.095754122204273,0.000579592286490849
"confidentinfosafe0",0.673331389799667,0.705793290534965,0.953769917714637,0.720865743261446
"confidentinfosafe2",0.0183704736313308,0.0863985992252436,0.4678905104125,0.643756061515884
"confidentinfosafe3",0.00212744926744546,0.0322116715815559,0.740513053313204,0.00670451326708332
"timesmoderateexerciseHigh",0.767370361435843,0.588290870112373,0.989886921629032,0.381602526179057
"timesmoderateexerciseLess",0.411879487196717,0.0573114071109033,0.577719507266748,0.17780564450611
"timesmoderateexerciseModerate",0.452256238656141,0.663782540033812,0.847090550551733,0.905444639706923
"timesmoderateexerciseUnknown",0.488912006578904,0.589404186407775,0.576699170106584,0.794497140729207
"mostrecentcheckup22",0.0205474897579183,0.921441728953382,0.646034051507365,0.740412637485565
"mostrecentcheckup23+",0.199882983571455,0.145719849792915,0.288964868112805,0.243803087398126
"mostrecentcheckup26",0.718554486980879,0.266366743970513,0.439213812804773,0.918987780771068
"totalhousehold2",0.828272469957072,0.0342834494415767,0.546049002635856,0.169127114908269
"totalhousehold3",0.983514334464075,0.49223099179362,0.758776239621762,0.491932837840253
"totalhousehold4+",0.294102947980374,0.0300169842439386,0.139240276065586,0.455980984106894
"totalhouseholdUnknown",0.916275042579941,0.295493909175821,0.584439374355954,0.812453609107317
"agecat30-45",0.923554838657748,0.0318793278375307,0.226311393692723,0.229648390449138
"agecat45-60",0.441095467963022,0.0131221470870071,0.0955865318575757,0.0992004254527041
"agecatless than 30",0.732447512193161,0.0214921699054522,0.179035227723934,0.188577418822492
"ischronic-9",0.551729042743158,0.161399001050708,0.713391350766458,0.723843557818787
"ischronic1",0.0578398666762319,0.195448435570773,0.0264894073663011,0.888808121782287
"seekinfointernetUnknown",0.694755326177698,0.362617228966036,0.303889254208417,0.119084162903769
"seekinfointernetUses internet",0.828506685089123,0.443813906056067,0.12715138568959,0.450252580729882
"Tech_savvy-9",0.785570525798305,0.582211340416487,0.281178078931831,0.708387028677915
"Tech_savvy1",0.0775360870412405,0.521567948170725,0.832190997366436,0.803300657312874
"Tech_savvy2",0.00546422003041647,0.0494177092829169,0.466139032288496,0.410694192318793
"Tech_savvy3",0.00000100741268882487,0.00180044418447167,0.27074576883681,0.209876710471154
"Tech_savvy4",0.0000000000178816961238226,0.00000000111464126817395,0.139195157758149,0.00180603602850127
"Tech_savvy5",0.0000000000000035527136788005,0.000000000040885073104846,0.0795162850510582,0.000192688838951627
"Tech_savvy6",0.0000000000366451313738025,0.00000000000694511115284513,0.0857344672289133,0.0000471013118423791
"Tech_savvy7",0.000000000139690925493596,0.000000000116507470337979,0.0542745989342486,0.00000229577198140873
